Year,Temperature Anomaly
1851,-0.15
1852,-0.06
1853,-0.04
1854,-0.09
1855,-0.04
1856,-0.07
1857,-0.23
1858,-0.16
1859,-0.1
1860,-0.12
1861,-0.32
1862,-0.28
1863,-0.24
1864,-0.19
1865,-0.16
1866,-0.06
1867,-0.2
1868,-0.13
1869,-0.06
1870,-0.12
1871,-0.15
1872,-0.21
1873,-0.22
1874,-0.21
1875,-0.17
1876,-0.28
1877,-0.06
1878,0.21
1879,-0.04
1880,-0.21
1881,-0.09
1882,-0.13
1883,-0.18
1884,-0.28
1885,-0.32
1886,-0.26
1887,-0.33
1888,-0.22
1889,0.04
1890,-0.27
1891,-0.28
1892,-0.22
1893,-0.32
1894,-0.34
1895,-0.25
1896,-0.17
1897,-0.06
1898,-0.19
1899,-0.24
1900,-0.06
1901,-0.05
1902,-0.18
1903,-0.28
1904,-0.47
1905,-0.3
1906,-0.19
1907,-0.28
1908,-0.37
1909,-0.46
1910,-0.35
1911,-0.45
1912,-0.26
1913,-0.4
1914,-0.19
1915,-0.06
1916,-0.19
1917,-0.45
1918,-0.37
1919,-0.18
1920,-0.24
1921,-0.22
1922,-0.19
1923,-0.26
1924,-0.17
1925,-0.28
1926,-0.06
1927,-0.18
1928,-0.13
1929,-0.27
1930,-0.2
1931,-0.05
1932,-0.05
1933,-0.2
1934,-0.2
1935,-0.12
1936,-0.14
1937,-0.04
1938,0.03
1939,-0.02
1940,0.13
1941,0.2
1942,0.17
1943,0.04
1944,0.21
1945,0.18
1946,0.07
1947,-0.01
1948,-0.05
1949,-0.06
1950,-0.1
1951,-0.15
1952,0.08
1953,0.1
1954,-0.06
1955,-0.1
1956,-0.15
1957,-0.05
1958,0.12
1959,0.08
1960,-0.02
1961,0.1
1962,0.04
1963,0.03
1964,-0.02
1965,-0.16
1966,-0.03
1967,-0.02
1968,-0.02
1969,0.02
1970,0.12
1971,-0.04
1972,-0.02
1973,0.22
1974,-0.01
1975,0.04
1976,-0.09
1977,0.13
1978,0.13
1979,0.1
1980,0.34
1981,0.32
1982,0.21
1983,0.3
1984,0.26
1985,0.15
1986,0.22
1987,0.26
1988,0.41
1989,0.28
1990,0.42
1991,0.43
1992,0.34
1993,0.23
1994,0.25
1995,0.45
1996,0.38
1997,0.38
1998,0.65
1999,0.47
2000,0.42
2001,0.45
2002,0.63
2003,0.58
2004,0.6
2005,0.64
2006,0.65
2007,0.7
2008,0.52
2009,0.62
2010,0.76
2011,0.63
2012,0.62
2013,0.67
2014,0.73
2015,0.82
2016,1.06
2017,0.95
2018,0.87
2019,0.93
2020,1.04
2021,0.87
2022,0.92
2023,0.97
2024,1.32
